,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
327,0.18,1.02,-0.25,2.91,-1.85,-0.45,-8.79,29.0,-21.97
328,0.18,1.02,-0.24,1.52,-0.88,-0.28,-8.79,29.3,-23.14
329,0.19,1.02,-0.26,2.83,-1.96,-0.14,-8.79,29.59,-22.56
330,0.18,1.02,-0.25,2.52,-1.17,-0.1,-9.38,29.59,-23.44
331,0.18,1.02,-0.25,2.58,-1.58,-0.52,-9.08,29.3,-22.85
332,0.19,1.02,-0.25,3.07,-0.81,-0.53,-8.79,29.88,-22.27
333,0.18,1.02,-0.26,3.04,-2.6,-0.27,-8.79,29.0,-22.85
334,0.18,1.02,-0.25,2.88,-1.31,-0.16,-8.79,29.88,-22.85
335,0.18,1.02,-0.25,2.27,-0.81,-0.32,-9.08,29.59,-22.56
336,0.17,1.02,-0.26,3.1,-1.56,-0.53,-8.79,29.59,-22.85
337,0.18,1.02,-0.24,3.23,-1.6,-0.55,-9.08,29.88,-22.56
338,0.17,1.02,-0.26,2.14,-2.25,-0.42,-9.38,29.0,-22.27
339,0.18,1.02,-0.26,2.71,-1.38,-0.73,-8.79,30.18,-21.97
340,0.17,1.02,-0.25,3.07,-1.63,-0.81,-9.38,29.3,-23.14
341,0.17,1.02,-0.26,3.01,-1.21,-0.28,-9.38,29.59,-22.56
342,0.17,1.02,-0.26,2.31,-3.59,0.0,-8.79,29.3,-22.56
343,0.18,1.02,-0.26,2.83,-2.67,0.1,-8.79,29.3,-22.56
344,0.18,1.02,-0.26,2.96,-2.25,-0.03,-9.08,29.88,-22.56
345,0.18,1.02,-0.25,2.85,-1.74,-0.24,-9.08,29.59,-22.56
346,0.17,1.02,-0.25,2.74,-1.67,-0.27,-8.79,29.88,-22.56
347,0.18,1.02,-0.26,2.53,-1.54,-0.14,-9.38,29.59,-22.56
348,0.18,1.02,-0.26,3.17,-1.66,0.09,-9.08,30.18,-22.27
349,0.18,1.02,-0.26,2.9,-0.37,-0.66,-9.08,29.59,-22.27
350,0.18,1.02,-0.25,3.41,-1.37,0.02,-9.08,30.18,-22.27
351,0.18,1.02,-0.27,2.84,-1.34,-0.13,-9.08,29.3,-22.85
352,0.18,1.01,-0.26,2.94,-1.72,0.0,-9.38,29.59,-22.85
353,0.18,1.02,-0.26,2.94,-2.11,0.08,-9.08,29.59,-22.56
354,0.18,1.02,-0.26,3.12,-1.48,-0.03,-8.79,29.3,-22.27
355,0.18,1.02,-0.26,3.25,-1.0,0.02,-9.08,29.3,-22.85
356,0.18,1.01,-0.27,3.19,-2.33,0.35,-9.38,29.59,-22.85
357,0.18,1.02,-0.27,2.74,-1.85,0.3,-9.67,29.3,-21.97
358,0.18,1.02,-0.26,3.3,-1.6,0.2,-8.79,29.88,-23.44
359,0.18,1.02,-0.25,3.91,-0.26,0.02,-9.67,29.88,-23.73
360,0.17,1.02,-0.27,2.66,-1.63,-0.23,-9.38,29.3,-23.14
361,0.18,1.02,-0.27,2.54,-2.86,0.04,-9.08,29.88,-22.56
362,0.18,1.02,-0.27,2.4,-2.11,-0.23,-9.38,29.88,-22.27
363,0.17,1.02,-0.26,3.12,-0.16,-1.08,-9.67,29.88,-22.85
364,0.18,1.01,-0.27,3.33,1.0,-0.69,-9.08,29.59,-22.27
365,0.17,1.02,-0.26,3.01,-0.56,-0.76,-8.79,29.88,-22.85
366,0.18,1.02,-0.26,2.61,-2.11,-0.39,-9.38,29.0,-22.56
367,0.17,1.02,-0.27,2.08,-4.46,0.11,-9.38,29.3,-22.85
368,0.18,1.02,-0.25,2.46,-2.4,-0.56,-9.08,29.59,-22.85
369,0.18,1.02,-0.27,3.4,-0.14,-0.77,-9.08,29.0,-22.56
370,0.18,1.02,-0.27,2.86,-1.48,-0.23,-9.08,29.59,-22.85
371,0.17,1.02,-0.27,1.94,-4.94,-0.14,-9.38,29.59,-22.85
372,0.17,1.02,-0.27,1.49,-3.32,-0.82,-9.38,29.59,-22.56
373,0.17,1.02,-0.26,2.15,-2.44,-0.89,-9.38,29.3,-22.56
374,0.17,1.02,-0.25,3.21,-0.53,-0.84,-9.38,29.88,-22.85
375,0.17,1.02,-0.27,3.36,-0.08,-0.33,-9.38,29.3,-23.44
376,0.17,1.02,-0.27,2.64,-2.61,-0.57,-8.79,29.59,-22.56
377,0.17,1.02,-0.26,2.65,-3.4,0.28,-9.38,29.59,-22.27
378,0.18,1.02,-0.27,2.59,-2.38,-0.19,-8.79,29.88,-22.56
379,0.17,1.02,-0.27,2.78,-1.27,-0.21,-9.08,29.88,-21.97
380,0.18,1.02,-0.26,2.82,-1.77,-0.15,-8.79,29.3,-22.85
381,0.17,1.02,-0.26,3.18,-0.89,-0.38,-9.08,28.71,-23.14
382,0.17,1.02,-0.26,3.43,0.2,-0.69,-9.38,29.59,-22.85
383,0.17,1.02,-0.27,3.53,-0.34,-0.34,-9.08,29.88,-22.85
384,0.17,1.02,-0.28,3.18,-0.92,-0.11,-8.79,29.3,-23.14
385,0.17,1.02,-0.27,2.92,-2.71,-0.17,-9.08,29.3,-22.85
386,0.17,1.02,-0.27,2.66,-2.59,-0.16,-9.38,29.88,-22.85
387,0.18,1.02,-0.27,2.72,-1.83,-0.1,-9.08,29.59,-23.14
388,0.17,1.01,-0.27,2.56,-2.14,0.02,-9.67,29.88,-22.56
389,0.17,1.02,-0.26,2.38,-2.57,-0.08,-9.67,29.88,-22.56
390,0.18,1.02,-0.26,2.27,-1.71,-0.17,-9.38,29.59,-23.44
391,0.18,1.02,-0.26,2.67,-0.72,-0.46,-9.67,29.59,-22.56
392,0.18,1.02,-0.27,3.52,1.22,-0.76,-9.38,29.59,-23.14
393,0.17,1.02,-0.29,2.14,-1.21,-0.11,-9.38,29.88,-23.14
394,0.17,1.02,-0.27,2.19,-3.59,0.05,-9.38,29.0,-22.85
395,0.17,1.01,-0.27,3.17,-1.59,0.45,-9.08,29.59,-23.14
396,0.18,1.02,-0.27,3.44,-0.1,-0.14,-9.38,30.18,-22.27
397,0.16,1.01,-0.28,2.97,-2.7,0.2,-9.38,29.59,-23.44
